,cell_index,n.p.mean,n.t1.mean,n.t2.mean,n.a1.mean,n.chi.mean,f.p.mean,f.t1.mean,f.t2.mean,f.a1.mean,f.a2.mean,f.chi.mean,rr.mean,n.tm.mean,f.tm.mean,n.p.sd,n.t1.sd,n.t2.sd,n.a1.sd,n.chi.sd,f.p.sd,f.t1.sd,f.t2.sd,f.a1.sd,f.a2.sd,f.chi.sd,rr.sd,n.tm.sd,f.tm.sd,npix,celltype,NADH,FAD,Group
1254,54,11.56666667,138.4636967,1487.708433,92.48938333,0.9663551,7.166666667,180.1602,1604.163433,88.83767333,11.16232133,1.107325433,0.619657102,248.6087639,328.1167664,4.207409993,82.82763804,405.2242784,4.224146609,0.121062041,3.238596262,57.95523969,346.0692284,5.894293827,5.894296654,0.15471117,0.098962863,169.5078414,106.978605,30,cell,NADH,FAD,CD4 Spleen FOV3
1255,55,19.84210526,431.9433825,2201.204912,78.70244386,0.955136965,10.4122807,381.6288684,2129.031667,81.90295702,18.09704263,1.043920307,0.651993411,798.2341712,680.5614208,11.17327639,169.4764259,447.0858142,5.62499272,0.115109625,5.874515839,72.46370826,424.7110688,5.457496873,5.457497506,0.103034976,0.099226652,213.8875404,71.77879258,114,cell,NADH,FAD,CD4 Spleen FOV3
1256,57,17.2173913,407.465087,2257.22913,82.32211739,1.011735913,9.391304348,310.6678261,1729.710261,83.85306957,16.14693,0.935182,0.647028951,720.8735125,531.1625104,4.680292549,109.3799759,619.5218157,3.587483382,0.147853022,3.299299243,112.4663316,332.8248575,4.943712017,4.943712749,0.142407528,0.092466676,151.1540594,155.5176398,23,cell,NADH,FAD,CD4 Spleen FOV3
1257,58,15.86046512,254.982,2157.449535,86.32788837,1.002243791,9.11627907,234.6552093,1641.025698,84.7728,15.2271993,0.928683465,0.638606191,500.0066813,444.3542995,7.327643015,103.9825858,570.1318909,8.044836264,0.156254968,5.661941878,79.48036274,419.7245074,3.486668078,3.486669202,0.089729478,0.112088224,226.4743071,130.9573925,43,cell,NADH,FAD,CD4 Spleen FOV3
1258,60,14,185.59,1493.05,75.7258,0.923773,4,283.802,2510.27,91.1995,8.80053,1.0825,0.777777778,502.9654553,479.7423163,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,cell,NADH,FAD,CD4 Spleen FOV3
1259,61,14.91071429,153.4915357,1606.052732,87.63249821,0.988977089,9.517857143,188.0565554,1545.440607,87.288,12.71199964,0.955483089,0.616309706,332.6354794,328.4678488,6.022010494,34.14638291,327.3436174,3.138414856,0.100263656,4.935920551,44.32795007,736.36253,5.631191785,5.631192438,0.119705086,0.108188993,84.65666496,63.09156618,56,cell,NADH,FAD,CD4 Spleen FOV3
1260,63,18.83333333,221.4603438,2015.401042,82.91593125,1.020434063,10.97916667,180.02225,1683.776042,88.3252,11.6748,1.001033063,0.634949353,519.0167746,352.6586525,8.463522061,76.18060837,325.4341114,6.512104525,0.085156455,5.586798967,49.50235886,286.8264958,2.092457531,2.092457752,0.117540401,0.092160327,158.3700644,70.65198989,48,cell,NADH,FAD,CD4 Spleen FOV3
1261,64,11.9787234,158.4675191,1593.32517,88.00157021,1.056159298,12.0212766,159.5961489,1177.239894,90.48774043,9.512261489,0.991075723,0.517917586,307.2649282,252.6614159,5.023810098,55.99500774,574.9344544,5.666147826,0.128423183,7.109361133,19.31630279,214.1652678,2.825111629,2.825112506,0.117993928,0.132957281,83.43590265,23.32162211,47,cell,NADH,FAD,CD4 Spleen FOV3
1262,66,12.68888889,111.2441644,1311.333733,93.74135333,1.020468978,6.577777778,138.1926667,1658.740956,90.53280444,9.467197111,1.137324533,0.655244765,184.2504075,274.0825793,4.461054819,31.65283375,209.8087843,3.027636756,0.107079282,2.499898988,20.75177835,415.8000015,2.503888902,2.503886338,0.129776261,0.109695867,63.53801228,38.28138483,45,cell,NADH,FAD,CD4 Spleen FOV3
1263,67,16.25862069,229.0474138,1901.883966,88.19501207,1.008621414,10.62068966,202.9263793,1670.776241,88.6116569,11.38834707,1.085459552,0.616885642,424.9112882,366.6125523,6.403289574,80.98841481,250.3780879,2.664256165,0.096075898,6.273943851,52.74964188,287.5855049,4.412776961,4.41277269,0.129142507,0.101967232,113.9890029,102.176972,58,cell,NADH,FAD,CD4 Spleen FOV3
