file_name,combo,Dice
Demo_Data,"('yen', 'otsu', 'local_otsu', 'triangle', 'multi_otsu')",0.6565182511030887
Demo_Data,"('yen', 'otsu', 'local', 'triangle', 'multi_otsu')",0.6565182511030887
Demo_Data,"('yen', 'local_otsu', 'local', 'triangle', 'multi_otsu')",0.6565182511030887
Demo_Data,"('otsu', 'local_otsu', 'local', 'triangle', 'multi_otsu')",0.6540804632366246
Demo_Data,"('min', 'yen', 'otsu', 'local_otsu', 'local', 'triangle')",0.6565182511030887
Demo_Data,"('min', 'yen', 'otsu', 'local_otsu', 'local', 'multi_otsu')",0.6565182511030887
Demo_Data,"('min', 'yen', 'otsu', 'local_otsu', 'triangle', 'multi_otsu')",0.6565182511030887
Demo_Data,"('min', 'yen', 'otsu', 'local', 'triangle', 'multi_otsu')",0.6565182511030887
Demo_Data,"('min', 'yen', 'local_otsu', 'local', 'triangle', 'multi_otsu')",0.6565182511030887
Demo_Data,"('min', 'otsu', 'local_otsu', 'local', 'triangle', 'multi_otsu')",0.6540804632366246
Demo_Data,"('yen', 'otsu', 'local_otsu', 'local', 'triangle', 'multi_otsu')",0.6565182511030887
Demo_Data,"('min', 'yen', 'otsu', 'local_otsu', 'local', 'triangle', 'multi_otsu')",0.6565182511030887
